testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 512 5348 95736 386 9 3 6.03 6 2086396948 16777212 43688 5405173.44 4915200 23660 210 3 61.30 51 1544 6 2 4.00 4 23660 129 1 49.19 42 5 1 1.44 1 2949120 65536 1943624.46 2621440 31877 199 1 65.32 43
1 8388608 65536 1024 18866 54277 407 7 1 3.18 3 6514130471 67108864 32752 16005234.57 13086720 83022 896 3 203.99 168 2551 10 2 6.27 6 83047 579 1 192.24 176 8 1 1.98 2 8650752 65536 5057974.86 5439488 99408 835 1 230.11 180
2 8388608 65536 2048 25999 78772 561 5 1 2.19 2 12429448627 75497472 49152 22155879.91 18808832 156898 1024 4 279.68 236 3328 10 2 5.93 6 156923 1285 1 349.49 255 10 1 2.38 2 17039360 65536 8878536.41 8388608 189691 1797 1 422.47 255
3 8388608 65536 4096 21715 188625 1169 6 1 2.28 2 26912090274 83886080 43735 23021463.02 18869985 345118 1152 3 295.22 240 7362 11 3 6.30 6 345118 1372 1 413.81 350 11 1 2.53 2 18284544 65536 9264241.15 8388608 410679 2396 1 491.83 350
4 8388608 65536 1024 14140 72418 765 10 2 5.98 6 6796371052 45017672 16476 8884145.17 7023015 87308 595 3 114.13 91 4878 10 3 6.38 6 87333 403 4 164.78 162 9 1 2.61 2 5963776 65536 3639828.02 3801088 103717 506 4 193.14 187
5 8388608 65536 1024 6637 154286 889 12 3 6.95 7 5078680298 16265730 7940 5712801.24 4660335 61126 200 2 68.76 56 4249 5 3 4.78 5 61151 174 2 75.12 73 7 1 1.78 1 3538944 65536 2134325.78 2424832 77535 258 2 95.25 87
6 8388608 65536 2048 19753 103680 1121 9 2 4.38 4 13024845463 68141826 18915 11618952.24 8377254 165956 920 3 148.04 108 6904 10 3 6.16 6 165981 659 2 257.33 246 10 1 2.65 2 8060928 65536 4995617.98 5505024 198749 915 2 308.14 247
7 8388608 65536 4096 22945 178513 1722 7 1 3.36 3 27502539681 83886080 24636 15971277.40 12453570 354106 1152 3 205.64 160 11065 11 3 6.43 6 354106 1404 1 385.74 354 12 1 2.93 2 12976128 65536 7285207.45 7012352 419642 1585 2 457.13 372
8 8388608 65536 2048 23331 87780 992 11 1 3.88 4 13236101544 67108864 28974 13342844.30 10263480 169178 896 4 170.54 132 6141 10 3 6.19 6 169203 850 9 287.27 258 9 1 2.86 2 10223616 65536 6170038.72 6488064 201971 978 9 334.94 315
9 8388608 65536 2048 24323 84200 1180 10 2 4.61 5 13107596543 65963655 17890 11108132.66 7690746 167234 888 4 141.72 102 7252 10 4 6.15 6 167259 614 1 253.81 261 10 1 2.68 2 7667712 65536 4850973.75 5636096 200027 713 1 303.53 315
