testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
23 8388608 65536 1024 26594 38503 128 1 1 1.00 1 3959422976 50331648 8388608 30932992.00 33554432 0 0 0 0.00 0 472 6 1 3.69 4 0 0 0 0.00 0 4 1 2.48 2 33554432 8388608 20839068.29 16777216 0 0 0 0.00 0
24 8388608 65536 1024 29091 35199 128 1 1 1.00 1 3892314112 50331648 8388608 30408704.00 33554432 0 0 0 0.00 0 464 6 1 3.62 4 0 0 0 0.00 0 4 1 2.47 2 33554432 8388608 20703798.47 16777216 0 0 0 0.00 0
25 8388608 65536 2048 40763 50241 256 1 1 1.00 1 9059696640 67108864 8388608 35389440.00 33554432 0 0 0 0.00 0 1080 8 1 4.22 4 0 0 0 0.00 0 8 1 3.00 2 67108864 8388608 25165824.00 16777216 0 0 0 0.00 0
26 8388608 65536 2048 39974 51232 256 1 1 1.00 1 8992587776 67108864 8388608 35127296.00 33554432 0 0 0 0.00 0 1072 8 1 4.19 4 0 0 0 0.00 0 8 1 3.46 2 67108864 8388608 29008347.66 16777216 0 0 0 0.00 0
27 8388608 65536 2048 39568 51758 256 1 1 1.00 1 8858370048 67108864 8388608 34603008.00 33554432 0 0 0 0.00 0 1056 8 1 4.12 4 0 0 0 0.00 0 8 1 3.43 2 67108864 8388608 28760941.71 16777216 0 0 0 0.00 0
28 8388608 65536 512 15485 33062 64 1 1 1.00 1 2013265920 58720256 8388608 31457280.00 33554432 0 0 0 0.00 0 240 7 1 3.75 4 0 0 0 0.00 0 2 1 1.20 1 16777216 8388608 10066329.60 8388608 0 0 0 0.00 0
29 8388608 65536 512 15092 33923 64 1 1 1.00 1 1879048192 50331648 8388608 29360128.00 33554432 0 0 0 0.00 0 224 6 1 3.50 4 0 0 0 0.00 0 2 1 1.12 1 16777216 8388608 9395240.96 8388608 0 0 0 0.00 0
30 8388608 65536 512 14040 36466 64 1 1 1.00 1 1610612736 50331648 8388608 25165824.00 25165824 0 0 0 0.00 0 192 6 0 3.00 3 0 0 0 0.00 0 2 1 1.20 1 16777216 8388608 10066329.60 8388608 0 0 0 0.00 0
31 8388608 65536 512 6749 75855 64 1 1 1.00 1 1476395008 25165824 16777216 23068672.00 25165824 0 0 0 0.00 0 176 3 2 2.75 3 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
32 8388608 65536 512 7260 70519 64 1 1 1.00 1 1879048192 33554432 25165824 29360128.00 33554432 0 0 0 0.00 0 224 4 3 3.50 4 0 0 0 0.00 0 2 1 1.08 1 16777216 8388608 9033885.54 8388608 0 0 0 0.00 0
