testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 2048 6655 307738 1010 4 2 3.95 4 6383730688 8388608 4194304 6320525.43 8388608 64640 96 32 64.00 64 3016 4 2 2.99 2 64665 64 32 32.22 32 1 1 1.00 1 4194304 2097152 2116621.58 2097152 97408 128 32 43.06 32
1 8388608 65536 4096 56271 72790 1903 14 1 3.72 3 38732368415 125829120 1198372 20353320.24 13421768 525458 1792 9 276.12 175 14815 16 2 7.79 7 525483 1632 9 286.05 217 5 1 2.72 2 41943040 589824 7100161.83 5570560 591019 1888 9 321.73 232
2 8388608 65536 8192 68940 118827 3056 16 1 2.98 2 73939570355 134217728 645277 24194885.59 13421768 997150 1920 12 326.29 175 22823 16 1 7.47 7 997175 2726 9 550.93 382 7 1 3.57 3 58720256 524288 11554798.72 8388608 1128247 3238 9 623.34 384
3 8388608 65536 16384 138267 118495 7255 22 1 3.54 2 155739691258 134217728 932066 21466532.22 9786707 2114214 1920 7 291.41 130 59933 17 2 8.26 8 2114214 4213 9 575.61 337 13 1 4.69 3 109051904 327680 12185993.57 8388608 2376358 5237 9 646.98 337
4 8388608 65536 4096 39839 102813 1419 8 1 2.77 3 38809871556 125829120 2396744 27350156.14 19573414 526648 1792 18 371.14 258 11614 16 2 8.18 8 526673 1131 16 290.02 256 3 1 1.97 2 25165824 1048576 6580089.97 5636096 592184 1259 16 319.75 288
5 8388608 65536 4096 14403 284385 1210 3 1 2.36 2 14070490446 25165824 8388606 11628504.50 12582912 148924 256 84 123.08 128 4038 5 3 3.34 3 148949 192 42 61.65 64 1 1 1.00 1 8388608 2752512 3480646.50 2818048 214460 212 42 85.82 64
6 8388608 65536 8192 48609 168528 3255 15 1 3.18 3 73955352635 125829120 559240 22720538.44 14680064 997390 1792 11 306.42 192 24737 16 1 7.60 7 997415 1591 9 463.05 412 5 1 2.85 3 37748736 524288 8519166.64 7208960 1128487 1847 9 523.90 469
7 8388608 65536 16384 72057 227375 5904 13 1 2.88 2 155876587984 134217728 932067 26401861.11 16777216 2116334 1920 10 358.46 234 49358 17 1 8.36 8 2116334 3072 12 565.86 488 6 1 3.23 3 46137344 589824 10188635.48 8388608 2378478 3072 12 634.26 528
8 8388608 65536 8192 44254 185113 2861 11 1 2.79 3 74338604687 125829120 1525200 25983434.00 18454931 1003246 1792 12 350.66 252 23358 16 2 8.16 8 1003271 2004 11 478.43 384 5 1 2.91 3 41943040 720896 9276099.88 8388608 1134343 2132 11 525.65 436
9 8388608 65536 8192 49347 166008 3467 14 1 3.39 3 74063246927 125829120 599186 21362344.08 13421768 999018 1792 12 288.15 182 26938 16 1 7.77 7 999043 2251 9 443.62 355 5 1 2.92 3 41943040 589824 8016189.87 6619136 1130115 2251 9 495.23 407
10 8388608 65536 8192 12421 659528 2047 2 1 2.00 2 17171480576 12582912 4194304 8388608.00 8388608 130944 128 128 63.97 128 4093 3 1 2.00 1 130969 64 64 63.98 64 1 1 1.00 1 8388608 4194304 4195328.75 4194304 262016 128 64 85.35 64
11 8388608 65536 16384 61749 265332 7608 14 1 3.71 3 155846414818 142606336 1198372 20484544.53 12582912 2115864 2048 11 278.11 168 61190 17 1 8.04 8 2115864 2644 12 519.61 431 6 1 3.14 3 50331648 589824 7985096.70 6291456 2378008 2644 12 583.99 502
12 8388608 65536 16384 68022 240863 4884 10 1 2.38 2 156643888477 134217728 2097152 32072868.24 20971520 2128058 1920 16 435.72 288 42292 17 2 8.66 8 2128058 2567 14 616.11 478 7 1 3.27 3 58720256 786432 12116667.56 8388608 2390202 2695 18 591.20 417
13 8388608 65536 16384 52628 311317 5230 10 1 2.55 2 156147295683 134217728 2796202 29856079.48 20971520 2120468 1920 22 405.44 288 45014 17 2 8.61 8 2120468 2070 14 583.83 507 5 1 2.88 3 41943040 786432 10003001.92 8388608 2382637 2088 18 599.10 495
14 8388608 65536 16384 54220 302176 6194 10 1 3.02 3 155787853216 134217728 838860 25151413.18 16777210 2114970 1920 13 341.45 224 51178 17 1 8.26 8 2114970 1838 13 540.36 460 5 1 2.85 3 37748736 786432 8661544.71 7340032 2377114 1952 16 593.09 508
15 8388608 65536 16384 18392 890822 2048 1 1 1.00 1 34359738368 16777216 16777216 16777216.00 16777216 262144 128 128 128.00 128 4096 2 2 2.00 2 262144 128 128 128.00 128 1 1 1.00 1 8388608 8388608 8388608.00 8388608 524288 256 128 169.13 128
16 8388608 65536 2048 10329 198276 940 5 3 3.67 4 7047828161 12582912 1677721 7497689.53 8388608 74706 160 26 79.47 96 3083 6 1 3.28 4 74706 85 25 40.93 32 1 1 1.00 1 2818048 1638400 2284598.14 2097152 107499 203 25 57.06 42
17 8388608 65536 2048 18823 108803 610 4 1 2.38 2 8420763612 25165824 5592404 13804530.51 12582912 95648 256 43 156.80 129 2495 6 2 4.09 4 95673 192 32 60.90 64 1 1 1.00 1 8388608 2097152 3373094.58 2818048 128416 256 32 80.41 64
18 8388608 65536 2048 23332 87776 748 6 1 2.92 3 11977532828 58720256 5592404 16012744.42 14680064 149964 768 63 200.49 192 4207 7 4 5.62 6 149989 384 25 101.62 85 2 1 1.46 1 12582912 1376256 4149523.34 4194304 182732 512 25 123.89 85
19 8388608 65536 4096 41155 99526 1513 14 1 2.96 2 34962280122 125829120 645277 23107918.12 13981010 467922 1792 10 309.27 182 10446 15 1 6.90 7 467947 1536 9 364.16 298 4 1 2.38 2 33554432 589824 7981895.77 6291456 533458 1792 9 415.47 342
20 8388608 65536 4096 44723 91585 1541 14 1 3.01 2 34794743145 125829120 699050 22579327.15 14680064 465374 1792 10 301.99 192 10779 15 1 6.99 7 465399 1579 9 327.75 256 4 1 2.33 2 33554432 589824 7506735.22 5636096 530910 1835 9 374.14 278
21 8388608 65536 4096 88670 46193 2488 23 1 4.86 3 33296498709 125829120 364722 13382837.10 5592402 442462 1792 5 177.84 70 15777 15 1 6.34 6 442487 3613 7 500.55 322 10 1 4.73 4 83886080 327680 9985649.95 6946816 508023 3869 7 574.69 350
22 8388608 65536 8192 65795 124507 3019 16 1 2.95 2 68060775698 117440512 645277 22544145.64 13421768 907444 1664 8 300.58 172 21147 14 1 7.00 7 907469 2635 9 618.59 516 7 1 3.83 4 58720256 524288 12327510.34 9830400 1038541 3147 9 707.94 522
23 8388608 65536 8192 63777 128447 2788 13 1 2.72 2 68343909235 117440512 645277 24513597.29 16777212 911764 1664 11 327.03 224 19937 14 1 7.15 7 911789 2103 11 562.49 470 6 1 3.31 3 50331648 589824 11362144.65 9109504 1042861 2615 11 643.34 470
24 8388608 65536 8192 69987 117050 2793 15 1 2.73 2 68069898246 117440512 1118480 24371606.96 16777212 907574 1664 8 324.95 210 19881 14 2 7.12 7 907599 2254 9 566.19 427 6 1 3.33 3 46137344 524288 11397974.59 8454144 1038671 2766 9 647.95 427
25 8388608 65536 16384 145499 112605 6160 22 1 3.01 1 144480331536 134217728 466033 23454599.28 10485760 1942404 1920 6 315.33 143 45484 16 1 7.38 7 1942404 4667 6 877.72 542 13 1 5.11 3 109051904 327680 16237048.52 8716288 2204548 5691 6 996.18 542
