testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 256 4023 63634 390 15 5 12.19 13 981628016 6710884 1118480 2516994.91 2581108 10828 78 9 27.76 30 1432 4 2 3.67 4 10853 118 8 29.17 20 4 1 1.75 1 4718592 524288 1197134.96 786432 14949 175 8 39.65 22
1 8388608 65536 512 13096 39095 322 12 2 5.03 4 2712176357 29360128 1398100 8422907.94 6990505 33192 384 11 103.08 88 1591 8 2 4.94 5 33217 481 11 137.83 128 4 1 2.29 2 10485760 655360 3907985.34 3342336 41409 737 11 171.82 128
2 8388608 65536 1024 24490 41812 375 8 1 2.93 3 5269163844 67108864 1048576 14051103.58 11184808 64010 896 21 170.69 128 1785 8 1 4.76 5 64035 1076 16 232.85 162 4 1 2.16 2 23724032 1048576 6363165.68 4915200 80419 1588 16 292.43 162
3 8388608 65536 2048 29393 69676 467 6 1 1.82 1 11168032962 75497472 2796202 23914417.48 16777216 137644 1024 21 294.74 215 2365 9 2 5.06 5 137644 1856 21 323.87 235 4 1 2.04 2 29360128 1376256 9635997.27 8388608 170437 2880 21 400.09 234
4 8388608 65536 512 17183 29796 374 11 4 5.84 6 2786593802 14680064 1525200 7450785.57 6990505 34326 192 12 91.78 84 1903 8 2 5.09 5 34351 361 12 124.46 115 4 1 2.36 2 8388608 720896 3448588.67 2883584 42543 489 12 149.27 142
5 8388608 65536 512 4492 113980 570 12 7 8.91 9 1964123831 5991860 2097150 3445831.28 3145728 21704 76 20 38.08 32 2098 5 3 3.68 3 21729 132 10 53.78 50 4 1 2.26 2 4653056 655360 2113553.67 1835008 29896 207 10 74.18 72
6 8388608 65536 1024 24186 42338 513 10 1 4.01 4 5269256825 58720256 1048576 10271455.80 8388608 64006 768 13 124.77 104 2437 8 1 4.75 5 64031 767 13 194.03 154 4 1 2.17 2 19529728 786432 4691397.19 4194304 80415 1023 13 243.68 154
7 8388608 65536 2048 28022 73085 662 8 1 2.59 3 11440103053 67108864 2796202 17281122.44 13981010 141790 896 21 214.18 168 3464 9 2 5.23 5 141790 1141 26 302.97 267 4 1 2.16 2 27262976 1048576 7118751.14 6291456 174583 1653 26 372.25 271
8 8388608 65536 1024 20783 49271 422 8 1 3.30 4 5476921695 50331648 2796202 12978487.43 11184808 67182 640 21 159.20 130 2138 8 2 5.07 5 67207 787 16 227.05 192 4 1 2.30 2 23724032 1048576 5895136.03 5046272 83591 915 16 269.65 246
9 8388608 65536 1024 21116 48494 550 9 1 4.30 4 5362729874 58720256 1864134 9750417.95 8388605 65440 768 14 118.98 96 2663 8 2 4.84 5 65465 663 16 188.12 160 4 1 2.28 2 19595264 917504 4595045.13 4194304 81849 783 16 234.52 215
10 8388608 65536 1024 7211 142005 965 10 5 7.54 8 3651333707 8388605 838860 3783765.50 3595116 39138 104 24 40.56 36 3311 5 1 3.43 3 39163 156 32 76.34 78 4 1 1.89 1 6684672 786432 2075692.98 1179648 55547 246 32 108.28 85
11 8388608 65536 2048 25489 80348 937 8 1 3.66 4 11405150469 67108864 3145728 12171985.56 10485760 141254 896 25 150.75 128 4907 9 2 5.24 5 141254 960 26 276.97 239 4 1 2.24 2 23068672 1048576 5198133.91 4194304 174047 1216 32 340.60 256
12 8388608 65536 2048 26066 78569 503 4 1 1.96 2 11563695380 67108864 4194304 22989454.04 16777212 143676 896 32 285.64 215 2661 9 2 5.29 5 143676 1471 32 356.52 299 4 1 2.08 2 29360128 2097152 9048070.41 8388608 176469 1471 32 358.68 277
13 8388608 65536 2048 25255 81092 666 6 1 2.60 3 11607315865 58720256 5033163 17428402.20 13981010 144340 768 43 216.73 172 3675 9 2 5.52 5 144340 1259 26 323.63 282 4 1 2.30 2 27262976 1376256 7254343.68 6946816 177108 1259 26 376.03 342
14 8388608 65536 2048 21092 97098 880 8 1 3.44 4 11292623256 58720256 1398101 12832526.43 11184808 139544 768 21 158.57 130 4670 9 1 5.31 5 139544 810 25 283.05 267 4 1 2.30 2 22347776 1048576 5551936.69 4784128 172337 938 26 341.26 330
15 8388608 65536 2048 8747 234137 1024 6 2 4.00 4 2131545152 16777212 2796202 2081587.06 5592404 65260 210 22 63.73 63 3076 6 2 3.00 4 65260 256 43 127.46 128 4 1 1.83 1 10485760 1376256 3826303.16 2097152 98053 320 64 191.14 192
16 8388608 65536 256 7117 35970 229 11 4 7.16 7 1096911083 10066326 2287800 4790004.73 4660335 12634 130 22 55.17 54 936 6 3 4.09 4 12634 253 11 69.42 43 4 1 2.26 2 7208960 720896 2641969.35 2359296 16730 363 11 91.92 43
17 8388608 65536 256 2913 87881 492 20 13 15.38 15 1019205109 3871662 419430 2071555.10 2236960 11400 45 7 23.17 24 1871 6 1 3.80 4 11425 91 6 42.63 42 4 1 2.30 2 2555904 393216 1246068.53 1048576 15521 214 6 57.91 42
18 8388608 65536 256 4482 57117 355 15 6 11.09 12 1007560818 6990505 1118480 2838199.49 2796200 11244 84 9 31.67 30 1340 5 2 3.77 4 11269 131 10 53.92 47 4 1 2.26 2 4849664 524288 1692461.68 1441792 15365 251 10 73.52 47
19 8388608 65536 512 12787 40040 344 11 2 5.38 5 2422309239 25165824 1048576 7041596.62 6710884 28762 320 12 83.61 75 1499 7 1 4.36 4 28787 491 11 126.26 88 4 1 2.19 2 12582912 720896 3540668.63 2949120 36979 747 11 162.19 88
