testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
22 8388608 65536 1024 20501 49948 225 5 1 1.76 2 4638900120 58720256 4194304 20617333.87 16777216 54396 768 32 241.76 192 961 7 2 4.27 4 54421 960 25 232.57 171 2 1 1.46 1 16777216 1638400 7060331.93 7012352 70805 1472 25 302.59 171
23 8388608 65536 1024 20691 49490 217 5 1 1.70 2 4645331390 50331648 2796202 21407057.10 16777216 54492 640 26 251.12 192 918 6 1 4.23 4 54517 1024 26 250.08 171 2 1 1.47 1 16777216 1638400 7431887.26 8388608 70901 1536 26 325.23 171
24 8388608 65536 1024 16945 60430 224 5 1 1.75 2 4671615676 50331648 2796202 20855427.12 20971520 54892 640 26 245.05 256 951 6 1 4.25 4 54917 858 25 238.77 148 2 1 1.45 1 16777216 1638400 7109808.12 8388608 71301 1370 25 310.00 148
25 8388608 65536 2048 27798 73674 381 3 1 1.49 1 5944726730 67108864 5592404 15602957.30 20971520 123480 896 42 324.09 256 1784 8 2 4.68 5 123480 1536 42 378.77 256 3 1 1.72 1 25165824 2752512 9893593.17 8388608 156273 2560 42 477.90 256
26 8388608 65536 2048 26585 77035 376 4 1 1.47 1 5804916598 67108864 2796202 15438607.97 20971520 121344 896 42 322.72 256 1726 8 1 4.59 5 121344 1472 42 384.00 298 3 1 1.72 1 25165824 2097152 10079724.58 8388608 154137 2496 42 486.24 298
27 8388608 65536 2048 27352 74875 371 4 1 1.45 1 5670698884 58720256 2097152 15284902.65 20971520 119294 768 32 321.55 256 1679 8 1 4.53 5 119294 1856 32 383.58 288 3 1 1.70 1 25165824 2097152 10107033.70 8388608 152087 2880 32 487.46 288
28 8388608 65536 512 16764 30541 219 6 1 3.42 3 2458980338 33554432 1398101 11228220.72 10485760 29316 384 25 133.86 128 975 7 1 4.45 4 29341 463 21 125.39 86 2 1 1.54 2 11206656 1376256 3871061.87 3735552 37508 591 21 160.29 96
29 8388608 65536 512 16041 31918 225 7 1 3.52 4 2383243201 41943040 1198372 10592192.00 8388608 28158 512 21 125.15 100 973 6 1 4.32 4 28183 513 18 118.92 85 2 1 1.51 2 12582912 1179648 3687668.11 3342336 36350 641 18 154.03 86
30 8388608 65536 512 15486 33062 244 9 1 3.81 3 2184939111 41943040 1048576 8954668.49 6710884 25126 512 14 102.98 75 956 6 1 3.92 4 25151 512 16 120.92 80 2 1 1.53 2 12582912 917504 3499244.31 2818048 33318 640 16 160.96 87
31 8388608 65536 512 14548 35193 137 4 1 2.14 2 1947555046 41943040 4194304 14215730.26 12582912 21516 512 32 157.05 128 501 5 2 3.66 4 21541 256 32 76.39 64 1 1 1.00 1 8388608 2097152 3886114.75 4194304 29733 384 32 104.69 64
