testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
21 8388608 65536 4096 89643 45692 3797 30 1 7.42 5 33443034439 125829120 289262 8807752.03 3670016 444634 1792 4 117.10 45 24305 15 1 6.40 6 444659 3325 5 487.56 308 16 1 6.71 5 81330176 262144 9233499.34 5636096 510170 3581 5 560.01 337
22 8388608 65536 8192 71977 113814 6584 29 1 6.43 5 68373209756 117440512 289262 10384752.39 5592402 912128 1664 5 138.54 72 46162 14 1 7.01 7 912153 2660 4 582.85 465 16 1 7.28 6 68288512 262144 10774965.36 8388608 1043200 3172 4 667.01 469
23 8388608 65536 8192 69142 118480 7006 30 1 6.84 6 68671816906 117440512 279620 9801857.97 5872020 916682 1664 5 130.84 78 50354 14 1 7.19 7 916707 2332 4 526.54 405 16 1 7.08 5 57737216 262144 9653536.64 6946816 1047754 2844 4 602.16 405
24 8388608 65536 8192 65361 125334 6948 30 1 6.79 5 68301189689 117440512 310689 9830338.18 5872020 911034 1664 5 131.12 78 50147 14 1 7.22 7 911059 2359 4 523.00 353 16 1 7.05 5 54460416 262144 9594753.98 6488064 1042106 2871 4 598.57 355
25 8388608 65536 16384 151240 108331 7455 28 1 3.64 2 144570179131 134217728 399457 19392378.15 8388604 1943752 1920 5 260.73 110 54911 16 1 7.37 7 1943752 4657 6 863.12 512 16 1 5.95 4 115998720 262144 15655793.83 8388608 2205896 5681 6 979.53 512
26 8388608 65536 16384 65476 250229 9180 23 1 4.48 3 144283339743 134217728 559240 15717139.41 8388600 1939404 1920 6 211.26 108 72403 16 1 7.89 7 1939404 3042 7 748.23 616 16 1 6.56 5 76808192 393216 13071267.42 8388608 2201573 4066 7 849.04 621
27 8388608 65536 16384 72367 226401 8821 22 1 4.31 3 143763088615 134217728 381300 16297822.09 8388604 1931460 1920 6 218.96 112 68723 16 1 7.79 7 1931460 3554 8 770.12 588 16 1 6.45 4 73662464 393216 13492260.14 8388608 2193604 4578 8 874.64 588
28 8388608 65536 4096 38981 105076 5586 36 1 10.91 10 34781218614 109051904 233016 6226498.14 3947576 465098 1536 4 83.26 52 41188 15 1 7.37 7 465123 1519 4 310.08 198 16 1 6.92 5 39387136 196608 5842679.74 3604480 530634 1647 4 353.76 249
29 8388608 65536 4096 44657 91721 5059 40 1 9.88 8 33805010076 109051904 209715 6682152.61 3871662 450176 1536 4 88.99 50 34570 14 1 6.83 6 450201 1571 3 329.58 181 16 1 6.84 5 47841280 196608 6691289.18 3866624 515712 1648 3 376.98 245
30 8388608 65536 4096 64479 63524 4500 44 1 8.79 7 33122086828 100663296 190650 7360463.74 3495250 439730 1408 4 97.72 45 29592 14 1 6.58 6 439755 2854 3 347.36 109 16 1 6.38 4 66650112 196608 7144102.69 3735552 505266 2982 3 399.42 122
31 8388608 65536 4096 10345 395940 9244 30 7 18.05 18 20723940700 5991860 838860 2241880.21 2097152 249662 76 10 27.01 24 44579 6 3 4.82 5 249687 303 5 90.63 42 16 1 5.12 2 13041664 262144 2373528.22 1114112 315198 431 5 114.45 42
32 8388608 65536 4096 11637 351980 7592 25 3 14.83 16 26038547056 19573414 1823610 3429734.86 2995930 331400 252 20 43.65 40 45867 7 5 6.04 6 331425 434 6 152.94 64 16 1 6.82 4 13631488 327680 3867617.86 2293760 396936 536 6 183.26 64
33 8388608 65536 4096 4057 1009613 18936 48 26 36.98 37 19150582801 1613190 174762 1011332.00 1075460 223328 20 4 11.79 12 84552 5 1 4.47 5 223353 243 2 66.83 54 16 1 4.94 3 4259840 131072 1106622.50 720896 288864 371 2 86.46 54
34 8388608 65536 8192 50844 161120 9850 33 1 9.62 9 70387151939 117440512 508400 7145903.75 4194302 942744 1664 4 95.71 54 69958 14 2 7.10 7 942769 2059 4 497.24 443 16 1 7.54 6 47841280 262144 7585814.96 5570560 1073816 2059 4 566.66 528
35 8388608 65536 8192 63516 128975 9786 33 1 9.56 8 70760552010 117440512 508400 7230794.20 4194302 948478 1664 4 96.92 55 70170 15 2 7.17 7 948503 1806 4 508.58 469 16 1 7.57 6 48758784 196608 7632904.18 5636096 1079550 2062 4 579.16 544
36 8388608 65536 8192 45573 179755 9191 40 1 8.98 8 72153362838 125829120 209715 7850436.61 4516939 969784 1792 4 105.51 60 67057 15 1 7.30 7 969809 2223 4 519.45 455 16 1 7.28 6 42336256 196608 7827460.00 5570560 1100856 2479 4 589.95 537
37 8388608 65536 16384 75465 217107 13567 30 1 6.62 5 147869760078 125829120 419430 10899223.12 6524469 1994072 1792 6 146.98 88 107910 16 1 7.95 8 1994072 2508 6 639.13 541 16 1 6.99 5 58327040 262144 9574782.86 7012352 2256241 3020 6 722.92 552
38 8388608 65536 16384 55372 295889 14067 26 1 6.87 5 146953832839 125829120 364722 10446707.39 6291450 1980090 1792 6 140.76 81 113001 16 1 8.03 8 1980090 2405 7 619.75 470 16 1 7.04 5 55902208 327680 9150448.19 6356992 2242234 2910 7 701.79 474
39 8388608 65536 16384 75806 216130 13394 41 1 6.54 5 145175043515 125829120 204600 10838811.67 6524469 1952926 1792 5 145.81 90 106279 16 1 7.93 8 1952926 2848 5 625.34 462 16 1 6.98 5 60358656 196608 9536646.14 6225920 2215070 3360 5 709.28 467
40 8388608 65536 8192 42087 194644 8902 31 1 8.69 8 74604800264 125829120 299593 8380678.53 5592400 1007260 1792 5 113.15 72 71498 16 1 8.03 8 1007285 1999 5 461.42 388 16 1 7.08 6 46858240 262144 7386309.50 5570560 1138332 2127 5 521.45 455
41 8388608 65536 8192 71017 115352 5673 27 1 5.54 3 67464274150 125829120 335544 11892168.90 5033160 898238 1792 5 158.34 65 37610 15 1 6.63 6 898263 3253 5 821.08 557 16 1 7.68 6 81592320 262144 13775139.91 8650752 1029310 3381 5 870.82 580
