testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 256 4575 55956 668 26 7 20.88 22 1018951980 4793488 645276 1525377.22 1525200 11388 54 5 17.05 18 2544 4 2 3.81 4 11413 131 5 30.27 16 8 1 2.34 2 5767168 262144 932683.29 655360 15509 195 5 41.14 16
1 8388608 65536 512 11669 43876 629 16 3 9.83 9 2752785396 19573414 1048576 4376447.37 3813000 33800 258 8 53.74 48 3161 8 2 5.03 5 33825 488 8 130.60 123 8 1 3.57 3 11272192 524288 3109590.64 2228224 42017 744 8 162.23 123
2 8388608 65536 1024 31955 32045 720 15 1 5.62 6 5328363233 67108864 599186 7400504.49 5242880 64910 896 9 90.15 64 3437 8 1 4.77 5 64935 1119 14 220.12 148 8 1 3.31 2 25427968 524288 5132643.14 3538944 81319 1631 14 275.66 148
3 8388608 65536 2048 31998 64004 918 11 1 3.59 3 11231371814 75497472 1525200 12234609.82 7190232 138604 1024 12 150.98 90 4642 9 2 5.06 5 138629 1936 16 301.37 212 8 1 2.98 2 38404096 720896 7213253.30 4194304 171397 2960 16 372.60 212
4 8388608 65536 512 15479 33077 720 22 7 11.25 11 2802060368 7340032 762600 3891750.51 3728268 34552 96 6 47.99 44 3691 8 2 5.13 5 34577 339 7 119.23 116 8 1 3.64 3 8519680 327680 2762594.46 2097152 42769 467 7 143.04 134
5 8388608 65536 512 4738 108062 1097 21 12 17.14 17 2303102350 3495250 1198371 2099455.20 2207525 26738 44 12 24.37 28 4717 5 3 4.30 5 26763 151 6 61.38 54 8 1 3.23 2 4784128 393216 1566853.17 1048576 34955 218 6 80.17 88
6 8388608 65536 1024 24885 41149 976 16 1 7.62 8 5326370442 58720256 524288 5457346.76 4660335 64880 768 8 66.48 56 4706 8 1 4.82 5 64905 835 8 187.05 150 8 1 3.35 2 21233664 524288 3795949.75 2686976 81289 1091 8 234.26 150
7 8388608 65536 2048 24626 83164 1285 17 1 5.02 5 11467258103 67108864 1398100 8923936.27 6291456 142202 896 11 110.66 80 6709 9 2 5.22 5 142202 1099 11 297.49 272 8 1 3.37 2 28311552 458752 5756442.73 4194304 174995 1611 11 365.33 275
8 8388608 65536 1024 19038 53787 827 14 1 6.46 7 5529552618 50331648 1677720 6686278.86 5592402 67984 640 13 82.21 70 4202 8 2 5.08 5 68009 695 10 221.53 201 8 1 3.84 3 20643840 589824 5049444.06 4194304 84393 823 10 266.22 248
9 8388608 65536 1024 20242 50587 1056 18 1 8.25 9 5391380817 58720256 1048576 5105474.26 4194300 65868 768 8 62.38 48 5172 8 2 4.90 5 65893 687 11 185.09 161 8 1 3.60 3 19529728 458752 3753807.15 2752512 82277 815 11 230.47 221
