testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
0 8388608 65536 1024 6545 156455 630 9 3 4.92 5 3704484872 14624778 19660 5880134.72 5360844 40206 190 1 63.82 50 2266 6 2 3.60 4 40231 141 1 54.66 51 6 1 1.42 1 3538944 65536 2333972.46 2949120 56615 232 2 74.79 54
1 8388608 65536 2048 48506 42221 605 6 1 2.36 2 17218794463 117440512 40095 28460817.29 24251577 229976 1664 4 380.13 318 5062 14 2 8.37 8 230001 1120 1 272.84 242 12 1 2.35 2 16908288 65536 8005202.60 7995392 262746 1376 1 311.31 250
2 8388608 65536 4096 52318 78290 971 5 1 1.90 2 32988765302 109051904 81972 33974011.64 29373790 437838 1536 3 450.91 384 7656 14 2 7.88 8 437863 2143 1 497.57 389 15 1 2.96 2 28246016 65536 12751881.90 8388608 503374 2655 1 572.67 402
3 8388608 65536 8192 41567 197079 1823 4 1 1.78 2 39892482151 125829120 60676 21882875.56 33554432 936386 1792 3 513.65 434 14860 15 1 8.15 8 936386 2472 1 560.71 386 15 1 2.88 2 31326208 65536 13562800.99 8388608 1067483 3496 1 638.83 386
4 8388608 65536 2048 30091 68060 838 8 1 3.27 3 17260563804 84655675 53235 20597331.51 16729888 230616 1188 4 275.20 224 7171 14 2 8.56 9 230641 798 1 283.69 261 13 1 2.69 2 12451840 65536 6474543.82 6094848 263384 926 1 317.71 300
5 8388608 65536 2048 6927 295654 1846 12 3 7.21 7 10074914420 16149525 7880 5457700.12 4407170 120956 196 2 65.52 52 8740 5 3 4.73 5 120981 195 1 72.57 69 7 1 1.80 1 3538944 65536 2077635.81 2293760 153749 264 1 92.18 82
6 8388608 65536 4096 32305 126791 1340 7 1 2.62 3 32990208370 101385869 41485 24619558.49 19953080 437860 1416 4 326.76 256 10919 14 1 8.15 8 437885 1169 3 450.50 446 13 1 2.93 2 17432576 65536 8861283.98 8388608 503421 1425 4 516.86 514
7 8388608 65536 8192 35914 228100 2788 7 1 2.72 3 70372184098 117440512 48210 25241099.03 19698759 942734 1664 4 338.14 261 23217 15 1 8.33 8 942734 1896 1 533.52 480 16 1 3.39 2 20316160 65536 10280927.69 8388608 1073806 1987 1 607.01 533
8 8388608 65536 4096 36343 112703 1546 6 1 3.02 3 33666366803 113004598 39640 21776433.90 16348650 448184 1586 3 289.90 216 12373 14 2 8.00 8 448209 1262 3 434.31 410 17 1 3.29 2 16711680 65536 8968341.48 8323072 513745 1319 3 478.79 467
9 8388608 65536 4096 35442 115569 1166 6 1 2.28 2 32729557198 108819620 98263 28069946.14 23798984 433870 1524 5 372.10 308 9582 14 1 8.22 8 433895 1171 6 450.10 408 13 1 2.73 2 18743296 65536 9308609.67 8388608 499431 1247 7 486.30 444
10 8388608 65536 4096 8761 467526 3353 12 3 6.55 6 19660159665 20976640 6144 5863453.52 4935680 234914 252 2 70.06 60 15871 5 1 4.73 5 234939 289 22 114.66 103 8 1 1.99 2 4456448 65536 2468073.60 2293760 300475 399 31 146.64 113
