65536 33
131072 22
196608 28
262144 11
327680 17
393216 17
458752 24
524288 19
589824 22
655360 22
720896 28
786432 23
851968 16
917504 20
983040 11
1048576 24
1114112 10
1179648 22
1245184 21
1310720 18
1376256 16
1441792 17
1507328 23
1572864 23
1638400 17
1703936 7
1769472 16
1835008 25
1900544 24
1966080 15
2031616 21
2097152 9
2162688 27
2228224 21
2293760 16
2359296 21
2424832 13
2490368 13
2555904 15
2621440 17
2686976 18
2752512 29
2818048 19
2883584 27
2949120 12
3014656 33
3080192 14
3145728 18
3211264 25
3276800 18
3342336 23
3407872 19
3473408 20
3538944 21
3604480 20
3670016 17
3735552 36
3801088 24
3866624 17
3932160 23
3997696 24
4063232 30
4128768 22
4194304 24
4259840 19
4325376 32
4390912 28
4456448 30
4521984 23
4587520 29
4653056 19
4718592 17
4784128 20
4849664 24
4915200 20
4980736 21
5046272 18
5111808 17
5177344 15
5242880 18
5308416 27
5373952 29
5439488 20
5505024 14
5570560 22
5636096 23
5701632 15
5767168 20
5832704 12
5898240 38
5963776 21
6029312 24
6094848 19
6160384 30
6225920 19
6291456 19
6356992 19
6422528 18
6488064 21
6553600 21
6619136 10
6684672 18
6750208 26
6815744 19
6881280 8
6946816 22
7012352 24
7077888 30
7143424 20
7208960 26
7274496 24
7340032 24
7405568 15
7471104 17
7536640 26
7602176 39
7667712 22
7733248 20
7798784 24
7864320 17
7929856 18
7995392 20
8060928 29
8126464 28
8192000 31
8257536 28
8323072 33
8388608 1024
8454144 17
8519680 11
8585216 11
8650752 11
8716288 13
8781824 7
8847360 15
8912896 4
8978432 22
9043968 7
9109504 14
9175040 24
9240576 9
9306112 8
9371648 15
9437184 17
9502720 11
9568256 11
9633792 12
9699328 17
9764864 19
9830400 16
9895936 13
9961472 13
10027008 8
10092544 10
10158080 7
10223616 14
10289152 16
10354688 14
10420224 13
10485760 11
10551296 17
10616832 12
10682368 10
10747904 13
10813440 11
10878976 21
10944512 11
11010048 9
11075584 11
11141120 17
11206656 7
11272192 18
11337728 17
11403264 15
11468800 9
11534336 9
11599872 13
11665408 12
11730944 9
11796480 14
11862016 12
11927552 15
11993088 13
12058624 13
12124160 10
12189696 12
12255232 9
12320768 12
12386304 19
12451840 12
12517376 8
12582912 11
12648448 6
12713984 10
12779520 17
12845056 11
12910592 12
12976128 13
13041664 8
13107200 16
13172736 9
13238272 16
13303808 11
13369344 14
13434880 13
13500416 9
13565952 10
13631488 9
13697024 9
13762560 16
13828096 15
13893632 15
13959168 15
14024704 10
14090240 13
14155776 9
14221312 8
14286848 11
14352384 8
14417920 9
14483456 11
14548992 19
14614528 8
14680064 20
14745600 14
14811136 13
14876672 19
14942208 15
15007744 9
15073280 14
15138816 16
15204352 18
15269888 9
15335424 6
15400960 12
15466496 17
15532032 9
15597568 17
15663104 17
15728640 14
15794176 10
15859712 10
15925248 13
15990784 12
16056320 15
16121856 10
16187392 11
16252928 6
16318464 6
16384000 5
16449536 11
16515072 18
16580608 23
16646144 17
16711680 21
16777216 151
16842752 17
16908288 6
16973824 8
17039360 5
17104896 8
17170432 9
17235968 10
17301504 9
17367040 7
17432576 4
17498112 9
17563648 8
17629184 10
17694720 2
17760256 13
17825792 6
17891328 7
17956864 7
18022400 7
18087936 12
18153472 4
18219008 11
18284544 8
18350080 10
18415616 12
18481152 7
18546688 5
18612224 10
18677760 8
18743296 7
18808832 5
18874368 8
18939904 5
19005440 8
19070976 6
19136512 7
19202048 12
19267584 10
19333120 3
19398656 11
19464192 6
19529728 11
19595264 7
19660800 9
19726336 12
19791872 7
19857408 9
19922944 9
19988480 6
20054016 7
20119552 8
20185088 7
20250624 7
20316160 9
20381696 7
20447232 6
20512768 8
20578304 11
20643840 15
20709376 4
20774912 12
20840448 9
20905984 4
20971520 8
21037056 11
21102592 12
21168128 9
21233664 4
21299200 5
21364736 7
21430272 9
21495808 4
21561344 6
21626880 3
21692416 8
21757952 12
21823488 11
21889024 6
21954560 4
22020096 11
22085632 10
22151168 4
22216704 6
22282240 9
22347776 4
22413312 3
22478848 3
22544384 6
22609920 5
22675456 5
22740992 8
22806528 7
22872064 11
22937600 6
23003136 8
23068672 7
23134208 6
23199744 7
23265280 5
23330816 5
23396352 3
23461888 6
23527424 5
23592960 4
23658496 7
23724032 10
23789568 2
23855104 5
23920640 6
23986176 5
24051712 10
24117248 3
24182784 4
24248320 9
24313856 6
24379392 7
24444928 5
24510464 10
24576000 5
24641536 5
24707072 3
24772608 3
24838144 5
24903680 12
24969216 11
25034752 7
25100288 3
25165824 27
25231360 8
