 24 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 10690.0000 95790.4584  476 2312 2312 988 6 1 4.86 5 9 1 2.34 2  638 1   228.35 186  1103 1   287.08 186  8126464 65536 4959755.05 6094848 
 25 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 20839.0000 98277.2686  560 2799 2799 1189 8 1 5.00 5 9 1 2.35 2  1250 2   388.50 310  2274 2   488.69 310  16711680 65536 7573428.61 7012352 
 26 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 19762.0000 103633.2355  568 2832 2832 1222 8 1 4.99 5 10 1 2.32 2  1216 1   373.18 275  2240 1   468.97 275  16449536 65536 7371742.97 6946816 
 27 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 19364.0000 105763.2721  573 2829 2829 1222 8 1 4.94 5 10 1 2.32 2  1157 2   369.91 297  2181 2   466.27 297  15925248 65536 7634267.37 7602176 
 28 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 9556.0000 53578.9033  463 2366 2366 930 7 3 5.11 5 10 1 2.54 2  356 2   119.38 89  484 2   148.43 89  4194304 65536 2852098.73 3670016 
 29 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 8292.0000 61746.2615  443 2182 2182 923 6 3 4.93 5 9 1 2.36 2  359 2   120.49 90  487 2   150.94 93  4128768 65536 2602855.16 3276800 
 30 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 19509.0000 26244.2975  202 888 888 399 6 1 4.40 5 8 1 2.23 2  610 2   219.50 130  738 2   291.99 258  8650752 65536 4845568.00 4587520 
 31 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 5569.0000 91937.5112  453 2122 2122 1156 6 2 4.68 5 8 1 1.84 1  193 3    80.51 67  311 3   102.41 69  3145728 65536 2287259.11 2752512 
 32 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 7850.0000 65222.9299  446 2218 2218 1074 6 3 4.97 5 7 1 2.07 2  253 5    98.52 97  330 5   122.68 98  3670016 65536 2517900.88 3014656 
 33 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 3506.0000 146035.3679  718 3344 3344 1420 5 1 4.66 5 7 1 2.35 2  204 1    75.59 61  332 1    97.32 61  2621440 65536 1632996.77 2031616 
 34 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 11172.0000 91657.7157  665 3388 3388 1316 6 3 5.09 5 10 1 2.57 2  534 2   190.98 144  790 2   237.93 144  6225920 65536 3937056.37 4587520 
 35 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 11171.0000 91665.9207  671 3430 3430 1353 7 3 5.11 5 10 1 2.54 2  546 1   191.09 166  747 1   237.38 166  5832704 65536 3934573.51 5373952 
 36 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 11143.0000 91896.2577  629 3234 3234 1350 7 1 5.14 5 10 1 2.40 2  536 1   206.19 186  792 1   255.54 189  6094848 65536 3993934.11 4718592 
 37 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 14905.0000 137403.5559  835 4341 4341 1659 8 2 5.20 5 9 1 2.62 2  1022 1   347.91 293  1534 1   431.15 293  11337728 65536 5930506.45 5308416 
