 25 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 40841.5000 50145.0730  256 1080 1080 360 8 1 4.22 4 8 1 3.00 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 26 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 39898.3000 51330.5078  256 1072 1072 310 8 1 4.19 4 8 1 3.46 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 27 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 39673.1000 51621.8798  256 1056 1056 308 8 1 4.12 4 8 1 3.43 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 28 MPI_Alltoallv msg = 8388608 chunk = 65536 512 15580.0000 32862.6444  64 240 240 200 7 1 3.75 4 2 1 1.20 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 29 MPI_Alltoallv msg = 8388608 chunk = 65536 512 15103.9000 33898.5295  64 224 224 200 6 1 3.50 4 2 1 1.12 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 30 MPI_Alltoallv msg = 8388608 chunk = 65536 512 14020.3000 36518.4768  64 192 192 160 6 0 3.00 3 2 1 1.20 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 31 MPI_Alltoallv msg = 8388608 chunk = 65536 512 6714.2000 76256.2926  64 176 176 176 3 2 2.75 3 1 1 1.00 1  0 0 0.00 0  0 0 0.00 0  8388608 8388608 8388608.00 8388608
 32 MPI_Alltoallv msg = 8388608 chunk = 65536 512 7231.0000 70806.2509  64 224 224 208 4 3 3.50 4 2 1 1.08 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 33 MPI_Alltoallv msg = 8388608 chunk = 65536 512 4728.6000 108277.2914  64 64 64 64 1 1 1.00 1 1 1 1.00 1  0 0 0.00 0  0 0 0.00 0  8388608 8388608 8388608.00 8388608
 34 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 16675.5000 61407.4540  128 520 520 292 6 2 4.06 4 2 1 1.78 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 35 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 15073.7000 67932.8897  128 528 528 296 7 2 4.12 4 2 1 1.78 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 36 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 15249.9000 67147.9813  128 544 544 304 7 1 4.25 4 2 1 1.79 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 37 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 30169.8000 67882.4520  256 1136 1136 428 8 1 4.44 4 4 1 2.65 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 38 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 29613.9000 69156.7136  256 1120 1120 424 8 1 4.38 4 4 1 2.64 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 39 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 24030.8000 85223.9626  256 1088 1088 416 8 1 4.25 4 4 1 2.62 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 40 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 21304.5000 48064.9628  128 576 576 400 8 1 4.50 5 3 1 1.44 1  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 41 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 24204.7000 42305.8332  128 448 448 256 7 0 3.50 4 3 1 1.75 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 42 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 23105.9000 44317.6851  128 448 448 256 7 0 3.50 4 3 1 1.75 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 43 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 14111.5000 72564.9293  128 608 608 520 8 1 4.75 5 2 1 1.17 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 44 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 15037.5000 68096.4256  128 576 576 480 8 1 4.50 5 2 1 1.20 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 45 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 16005.9000 63976.4087  128 448 448 352 7 0 3.50 4 2 1 1.27 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 46 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 5797.8000 176618.7174  128 432 432 384 4 3 3.38 3 2 1 1.12 1  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 47 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 4704.0000 217687.0748  128 224 224 224 2 1 1.75 2 1 1 1.00 1  0 0 0.00 0  0 0 0.00 0  8388608 8388608 8388608.00 8388608
 48 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 4705.1000 217636.1820  128 320 320 320 3 2 2.50 3 1 1 1.00 1  0 0 0.00 0  0 0 0.00 0  8388608 8388608 8388608.00 8388608
