0 3386.3 75598.7 1901 134666 1 1 1 2 2 2 1 1 1 4 2 3
1 12004.2 42651.7 16503 31024.7 2 1 1.82 8 2 5 2 1 1.5 8 2 4.95
2 28490.2 35942.2 26613 38477.4 4 1 2.67 8 1 4.5 3 1 1.81 8 1 4.71
3 40386.9 50709.5 28707 71341.5 8 1 3.81 9 1 5 4 1 2.04 9 2 5.1
4 13037.2 39272.2 16146 31710.6 2 1 1.25 8 2 5 2 1 1.52 8 2 5.07
5 3386.5 151189 4774 107248 1 1 1 3 3 3 1 1 1 5 3 3.36
6 16777.2 61035.2 20867 49072.7 2 1 1.8 8 1 4.5 2 1 1.47 8 1 4.67
7 34065.7 60119.1 28635 71520.9 4 1 2.76 9 1 5 3 1 1.82 9 2 5.34
8 25776.2 39726.6 22406 45702 3 1 1.5 8 1 4.5 2 1 1.49 8 2 5.13
9 15990 64040 22612 45285.7 2 1 1.2 8 1 4.5 2 1 1.51 8 2 4.99
10 4710.5 217387 3894 262969 1 1 1 1 1 1 1 1 1 3 1 2
11 18092.9 113194 32549 62920.5 2 1 1.82 9 1 5 3 1 1.86 9 2 5.26
12 45121 45389.1 32998 62064.4 6 1 2.5 9 1 5 3 1 1.69 9 2 5.36
13 26369.3 77666.1 25196 81282.7 3 1 1.67 9 1 5 3 1 1.9 9 3 5.45
14 17522.5 116878 21615 94749 2 1 1.33 9 1 5 2 1 1.45 9 1 5.15
15 4709.3 434884 8058 254157 1 1 1 2 2 2 1 1 1 2 2 2
16 5758.3 44457.6 10938 23404.6 2 1 1.12 4 3 3.38 1 1 1 6 3 4.25
17 4704.3 54418.3 3183 80427.3 1 1 1 2 1 1.75 1 1 1 6 1 3.16
18 4704.5 54416 8450 30295.9 1 1 1 3 2 2.5 1 1 1 5 2 3.61
19 15018.5 34091.3 15946 32108.4 2 1 1.77 7 1 3.88 2 1 1.44 7 1 4.19
20 13938.6 36732.5 12065 42436.8 2 1 1.76 7 1 3.75 2 1 1.47 7 1 4.15
21 14100.3 36311.3 12942 39561.1 2 1 1.75 7 1 3.5 2 1 1.5 7 1 4.12
22 26993.2 37935.5 19535 52418.7 4 1 2.49 7 1 3.72 2 1 1.46 7 2 4.36
23 25692.2 39856.5 17988 56926.8 4 1 2.48 6 1 3.69 2 1 1.42 6 1 4.36
24 26602.5 38492.6 20929 48927.3 4 1 2.47 6 1 3.62 2 1 1.45 6 2 4.36
25 40037.1 51152.6 29036 70533.1 8 1 3 8 1 4.22 3 1 1.7 8 1 4.59
26 39363.2 52028.3 29618 69147.1 8 1 3.46 8 1 4.19 3 1 1.71 8 1 4.58
27 39216.8 52222.5 29282 69940.6 8 1 3.43 8 1 4.12 3 1 1.71 8 1 4.51
28 15416.4 33211.4 18651 27451.6 2 1 1.2 7 1 3.75 1 1 1 7 1 4.39
29 14961 34222.3 15528 32972.7 2 1 1.12 6 1 3.5 2 1 1.53 6 1 4.27
30 13670.2 37453.7 14096 36322.4 2 1 1.2 6 0 3 2 1 1.53 6 1 3.98
31 6717.4 76220 9057 56530.9 1 1 1 3 2 2.75 1 1 1 5 2 3.7
32 7228.9 70826.8 11906 43003.5 2 1 1.08 4 3 3.5 1 1 1 6 3 4.08
33 4726.2 108332 2625 195048 1 1 1 1 1 1 1 1 1 5 1 2.5
34 14249.8 71860.7 17871 57299.5 2 1 1.78 6 2 4.06 2 1 1.48 6 2 4.38
35 14612.7 70076 22456 45600.3 2 1 1.78 7 2 4.12 2 1 1.47 7 2 4.41
36 14998.2 68274.9 18434 55549.5 2 1 1.79 7 1 4.25 2 1 1.52 7 1 4.52
37 29957.3 68364 23231 88158.1 4 1 2.65 8 1 4.44 3 1 1.82 8 1 4.74
38 28935.6 70777.9 26894 76150.8 4 1 2.64 8 1 4.38 3 1 1.85 8 1 4.75
39 24730.9 82811.4 24493 83615.7 4 1 2.62 8 1 4.25 3 1 1.88 8 1 4.73
40 21090.6 48552.4 24397 41972.4 3 1 1.44 8 1 4.5 2 1 1.53 8 2 5.03
41 24066.1 42549.5 22539 45432.4 3 1 1.75 7 0 3.5 2 1 1.54 7 1 4.56
42 23161.1 44212.1 21667 47260.8 3 1 1.75 7 0 3.5 2 1 1.56 7 1 4.46
43 14150.4 72365.4 19156 53455.8 2 1 1.17 8 1 4.75 2 1 1.52 8 2 4.95
44 14960.7 68446 14271 71753.9 2 1 1.2 8 1 4.5 2 1 1.53 8 1 4.79
45 16007.1 63971.6 16760 61097.9 2 1 1.27 7 0 3.5 2 1 1.57 7 1 4.29
46 5769.6 177482 11487 89144.2 2 1 1.12 4 3 3.38 1 1 1 6 3 3.86
47 4703.8 217696 5297 193317 1 1 1 2 1 1.75 1 1 1 5 1 2.74
48 4706.1 217590 9331 109742 1 1 1 3 2 2.5 1 1 1 5 2 3.22
49 18417.3 111200 27990 73169 2 1 1.81 9 1 4.88 2 1 1.43 9 1 4.96
50 18013.7 113691 23144 88489.5 2 1 1.81 9 1 4.75 2 1 1.46 9 1 4.91
51 18776.6 109072 28155 72740.2 2 1 1.8 9 1 4.5 2 1 1.49 9 1 4.82
52 43235.9 47368 33849 60504 6 1 2.67 8 0 4 3 1 1.84 8 1 4.83
53 44327.8 46201.3 32597 62827.9 6 1 2.67 8 0 4 4 3 1 409 8 1
54 42841.7 47803.9 33916 60384.5 6 1 2.67 8 0 4 3 1 1.83 8 1 4.71
55 25236.7 81151.7 24747 82757.5 3 1 1.5 8 1 4.5 2 1 1.5 8 1 5.07
56 26700.2 76703.5 26911 76102.7 3 1 1.6 8 0 4 2 1 1.54 8 1 4.79
57 25274.3 81030.9 29860 68586.7 3 1 1.78 8 0 4 3 1 1.96 8 1 4.85
58 17298.3 118393 26185 78212.7 2 1 1.23 9 1 4.75 2 1 1.53 9 1 5.09
59 15270.1 134118 24641 83113.5 2 1 1.16 8 1 4.5 2 1 1.53 8 1 4.85
60 14217.9 144044 28658 71463.5 2 1 1.23 8 0 4 2 1 1.61 8 1 4.54
61 6768.4 302583 11198 182890 1 1 1 3 2 2.75 1 1 1 5 2 2.95
62 7262.3 282004 12659 161782 2 1 1.08 4 3 3.5 1 1 1 6 3 3.71
63 4732.8 432725 4770 429350 1 1 1 1 1 1 1 1 1 3 1 1.67
64 61619.2 8309.1 24764 20675.2 8 1 2.82 6 0 3 4 3 1 84 6 1
65 63933.4 8008.33 25581 20014.9 8 1 2.82 6 0 3 4 3 1 84 6 1
66 61420.1 8336.03 27519 18605.3 8 1 2.82 6 0 3 4 3 1 84 6 1
67 35457.5 14439.8 21019 24358.9 6 1 2.4 6 0 3 4 2 1 97 6 1
68 34451.9 14861.3 17473 29302.4 6 1 2.4 6 0 3 2 1 1.43 6 1 4.11
69 34651.5 14775.7 19595 26129.1 6 1 2.4 6 0 3 2 1 1.42 6 1 4.09
70 23993.2 21339.4 18193 28142.7 3 1 1.71 6 0 3 2 1 1.49 6 1 4.17
71 23779.4 21531.2 20332 25182 3 1 1.5 6 0 3 2 1 1.49 6 1 4.12
72 24421.7 20965 16766 30538 3 1 1.71 6 0 3 2 1 1.5 6 1 4.24
73 61659.8 16607.3 31426 32584.5 12 1 3.11 7 0 3.5 4 3 1 145 7 1
74 61729.3 16588.6 34132 30001.2 12 1 3.11 7 0 3.5 4 4 1 190 7 1
75 61481.5 16655.4 31294 32721.9 12 1 3.11 7 0 3.5 4 4 1 191 7 1
76 34113.3 30017.6 25561 40061 6 1 2.55 7 0 3.5 3 1 1.77 7 1 4.46
77 36122.6 28347.9 23590 43408.2 6 1 2.55 7 0 3.5 3 1 1.8 7 1 4.43
78 36341.4 28177.2 28108 36430.9 6 1 2.55 7 0 3.5 3 1 1.79 7 1 4.47
79 22200.4 46125.3 22875 44765 3 1 1.75 7 0 3.5 2 1 1.53 7 1 4.44
80 22191.4 46144 27311 37494.1 3 1 1.75 7 0 3.5 2 1 1.51 7 1 4.4
81 23077.4 44372.4 24018 42634.7 3 1 1.75 7 0 3.5 2 1 1.52 7 1 4.51
82 77795.7 26325.4 34903 58676.9 12 1 3.37 8 0 4 4 4 1 319 8 1
83 77689.1 26361.5 37882 54062.6 12 1 3.37 8 0 4 4 4 1 317 8 1
84 77574 26400.6 39902 51325.8 12 1 3.37 8 0 4 4 5 1 394 8 1
85 43364.8 47227.2 30370 67435 6 1 2.67 8 0 4 3 1 1.77 8 1 4.67
86 43839.7 46715.6 34342 59635.4 6 1 2.67 8 0 4 3 1 1.79 8 1 4.72
87 42703.1 47959 30279 67637.6 6 1 2.67 8 0 4 3 1 1.77 8 1 4.66
88 26541.6 77161.9 28210 72598.4 3 1 1.78 8 0 4 3 1 2.01 8 1 4.71
89 25316 80897.5 33237 61618.1 3 1 1.6 8 0 4 3 1 2.02 8 1 4.8
90 25263.3 81066.2 29854 68600.5 3 1 1.78 8 0 4 3 1 1.99 8 1 4.76
