0 inf 0 inf 0
1 4169.6 1918.65 12679 630.965
2 5096.8 1569.61 13315 600.826
3 138646 118172 383562 42715.4
4 3806.9 2101.45 12020 665.557
5 23117.4 177183 101089 40518.8
6 5097 1569.55 14199 563.42
7 105818 154832 279921 58530.8
8 3806.7 2101.56 12347 647.931
9 114321 71657.7 115108 71167.9
10 9662.5 1655.89 29297 546.131
11 82470.8 198664 190415 86043.6
12 3810.3 2099.57 12148 658.545
13 4169.6 1918.65 13104 610.501
14 5097.3 1569.46 8298 964.088
15 37424.6 437787 132772 123400
16 39618.6 51692.9 82626 24786.4
17 37647.8 54398.9 80828 25337.8
18 37646.4 54401 81194 25223.5
19 4193.5 1907.71 9211 868.527
20 5139.9 1556.45 3682 2172.73
21 75551 54215 118519 34559.9
22 4197.4 1905.94 8481 943.285
23 5140.4 1556.3 11026 725.558
24 99024.8 82726.8 137260 59682.4
25 125540 130508 272565 60110.4
26 130637 125416 254260 64438
27 5144.1 1555.18 10646 751.456
28 3831.1 2088.17 9144 874.891
29 7815.1 2047.32 37011 432.304
30 5142.1 1555.78 3674 2177.46
31 44695.9 91641.5 96856 42289.6
32 7802.7 2050.57 28918 553.289
33 9708.9 1647.97 9485 1686.87
34 3828 2089.86 10907 733.474
35 4203.8 1903.04 10461 764.745
36 84789.3 96616 134681 60825.2
37 3833 2087.14 8838 905.182
38 4200.5 1904.54 10927 732.131
39 5143.4 1555.39 7049 1134.91
40 139453 58743.7 130438 62803.8
41 142894 57329.1 6.0865e+06 1345.93
