M  27 MPI_Alltoallv  msg = 8388608 chunk = 65536  2048 39568.7000 51758.0815   256 1 1 1.00 1  8858370048 67108864 8388608 34603008.00 33554432     0 0 0 0.00 0  1056 8 1 4.12 4     0 0 0 0.00 0  8 1 3.43 2  67108864 8388608 28760941.71 16777216     0 0 0 0.00 0  
M  27 MPI_Alltoallv  msg = 8388608 chunk = 65536  4096 95598.9000 42845.6813   512 1 1 1.00 1  22011707392 83886080 8388608 42991616.00 41943040     0 0 0 0.00 0  2624 10 1 5.12 5     0 0 0 0.00 0  16 1 3.38 2  134217728 8388608 28365602.31 16777216     0 0 0 0.00 0  
M  27 MPI_Alltoallv  msg = 8388608 chunk = 65536  8192 137093.0000 59755.0568  1024 1 1 1.00 1  61203283968 117440512 8388608 59768832.00 58720256     0 0 0 0.00 0  7296 14 1 7.12 7     0 0 0 0.00 0  28 1 4.56 2  234881024 8388608 8388608.00 117440512     0 0 0 0.00 0  
M  27 MPI_Alltoallv  msg = 8388608 chunk = 65536  16384 263129.8000 62265.8475  2048 1 1 1.00 1  139586437120 134217728 8388608 68157440.00 67108864     0 0 0 0.00 0  16640 16 1 8.12 8     0 0 0 0.00 0  28 1 6.05 2  234881024 8388608 50721815.81 16777216     0 0 0 0.00 0  
M  27 MPI_Alltoallv  msg = 8388608 chunk = 65536  32768 272208.5000 120378.3129  4096 1 1 1.00 1  41472 20 1 10.12 10     0 0 0 0.00 0  64 1 7.86 2  536870912 8388608 8388608.00 268435456     0 0 0 0.00 0  
