0 3449.2 148440 4410 116100
1 18948.4 54041.5 18921 54119.8
2 37625.7 54430.9 37523 54579.9
3 149970 27312 51523 79498.5
4 21288.5 48101.1 16274 62922.5
5 3451.6 296674 5645 181399
6 21425 95589.3 26263 77980.4
7 46260.7 88541.7 27356 149730
8 31836.2 64329.3 30193 67830.3
9 21142.8 96865.1 23164 88413.1
10 4771.2 429242 10523 194621
11 24511.3 167107 25774 158920
12 51781.7 79101.3 44010 93069.8
13 30940.3 132384 31840 128643
14 21026.9 194798 28114 145693
15 4775.2 857765 7906 518088
16 4799.6 106676 13862 36935.5
17 9440.1 54236.7 5699 89840.3
18 9449.5 54182.8 6774 75583.1
19 24094 42500.2 20100 50945.3
20 19243.5 53212.8 16488 62105.8
21 24055.2 42568.8 19029 53812.6
22 42350.3 48358.6 27784 73711.5
23 42233.1 48492.8 25635 79890.8
24 46275.1 44257.1 28364 72204.2
25 152095 26930.5 49629 82532.4
26 153042 26763.9 47005 87139.7
27 150642 27190.4 51308 79831.6
28 22518.4 45473.9 17409 58820.2
29 19879.7 51509.8 19810 51691.1
30 21436.3 47769.4 22405 45704.1
31 9444.9 108418 7319 139910
32 9448.2 108380 10614 96476.4
33 4789.1 213819 6887 148686
34 24268.4 84389.6 22559 90784.2
35 19452.5 105282 23387 87570
36 23956.5 85488.3 26578 77056.2
37 46514.1 88059.3 32518 125961
38 44842.7 91341.5 32397 126431
39 45194 90631.5 30877 132655
40 32233.9 63535.6 22617 90551.4
41 32234 63535.4 26059 78590.9
42 31606.5 64796.8 28306 72352.1
43 20778.3 98564.4 19042 107552
44 20362.8 100576 23988 85376
45 21468.2 95396.9 27994 73158.5
46 9451.5 216685 12873 159093
47 4764.8 429819 9131 224291
48 4763.9 429900 8250 248242
49 24327.1 168372 32607 125617
50 23387 175140 25544 160351
51 24551.9 166830 26391 155204
52 50955.8 80383.4 47605 86041.4
53 51271.2 79888.9 43839 93432.8
54 52779.6 77605.7 44453 92142.3
55 33210.1 123336 40930 100179.2
56 34915.1 117313 37297 109821
57 34906 117344 36786 111347
58 21659.6 189108 26271 155913
59 20982.5 195210 30707 133390
60 21606.9 189569 36290 112869
61 7004.1 584800 13349 306839
62 7165.9 571596 9550 428901
63 4793.8 854437 13868 295356
64 80761.5 12679.3 36990 27683.2
65 84964.1 12052.1 44191 23172.1
66 81913.1 12501.1 36273 28230.4
67 48928.7 20928.4 25466 40210.5
68 48926.4 20929.4 25183 40662.4
69 49081.1 20863.4 28396 36061.4
70 31593.3 32411.9 22859 44796.4
71 28674.3 35711.4 25276 40512.7
72 27883.4 36724.4 26573 38535.4
73 100071 20465.5 47771 42871.2
74 92520 22135.8 42047 48707.4
75 95059.8 21544.3 50621 40457.5
76 50822.4 40297.2 36342 56353.5
77 51023.5 40138.4 37272 54947.4
78 49205.1 41621.7 33389 61337.6
79 31559.8 64892.7 27274 75089.8
80 32261.9 63480.5 25906 79055
81 31538.1 64937.3 27071 75652.9
82 104064 39360.3 59100 69306.3
83 100665 40689.5 59437 68913.3
84 101911 40191.9 57199 71609.6
85 51140.6 80092.9 44648 91739.8
86 52159.4 78528.5 44438 92173.4
87 52711.3 77706.3 44237 92592.2
88 34956 117176 36619 111854
89 34899.4 117366 38232 107135
90 34822.5 117625 36043 113642
