id    ampl       solv    total
0   17.3203   0.654482   17.974782
1   37.1049   0.669344   37.774244
2   76.256   3.37362   79.62962
3   187.705   6.67363   194.37863
4   37.8358   3.0117   40.8475
5   36.8033   9.17601   45.97931
6   78.8347   14.2772   93.1119
7   186.762   28.8991   215.6611
8   75.0029   18.1825   93.1854
9   75.7406   18.8637   94.6043
10   77.6167   39.0228   116.6395
11   149.329   16.0677   165.3967
12   112.236   226.291   338.527
13   63.9976   39.454   103.4516
14   51.5961   71.501   123.0971
15   50.8447   1.87601   52.72071
16   5.58162   1.28331   6.86493
17   5.94956   0.526545   6.476105
18   6.0228   1.35414   7.37694
19   11.9578   0.732615   12.690415
20   11.8009   0.564788   12.365688
21   11.7528   0.535029   12.287829
22   24.056   12.4785   36.5345
23   24.1974   3.25385   27.45125
24   24.1241   4.06857   28.19267
25   52.0776   43.5885   95.6661
26   51.6184   38.3183   89.9367
27   51.9628   16.6365   68.5993
28   11.7261   0.695214   12.421314
29   12.34   0.869946   13.209946
30   11.7059   0.491763   12.197663
31   11.9025   6.44177   18.34427
32   18.8911   1.87211   20.76321
33   13.1531   7.85224   21.00534
34   25.9758   6.01759   31.99339
35   25.6114   5.30165   30.91305
36   25.0882   4.84583   29.93403
37   51.9926   81.998   133.9906
38   50.0082   156.535   206.5432
39   109.901   58.5577   168.4587
40   49.6097   25.6442   75.2539
41   48.1896   13.6451   61.8347
42   46.994   8.31118   55.30518
43   48.3469   21.5485   69.8954
44   48.0181   8.14013   56.15823
45   47.087   6.59783   53.68483
46   47.0158   36.6833   83.6991
47   48.9242   138.796   187.7202
48   51.003   289.57   340.573
49   117.177   74.5076   191.6846
50   112.921   64.2064   177.1274
51   88.3314   28.8068   117.1382
52   50.662   45.5461   96.2081
53   51.6832   14.5898   66.2730
54   51.0065   84.941   135.9475
55   50.803   20.4738   71.2768
56   50.1817   54.2881   104.4698
57   50.6714   35.8688   86.5402
58   51.437   127.316   178.753
59   50.7939   64.5164   115.3103
60   50.3074   10.9445   61.2519
61   50.2947   12.9856   63.2803
62   50.5868   34.2275   84.8143
63   50.3004   82.5844   132.8848
64   11.6275   1.58125   13.20875
65   11.564   1.60006   13.16406
66   11.6844   1.29469   12.97909
67   11.5474   2.35092   13.89832
68   11.4012   2.76622   14.16742
69   11.7406   2.64123   14.38183
70   11.8545   1.99601   13.85051
71   11.8064   0.961371   12.767771
72   11.9409   1.06347   13.00437
73   24.5776   13.2628   37.8404
74   24.5404   13.3163   37.8567
75   24.1152   11.2856   35.4008
76   24.6403   6.47758   31.11788
77   24.4801   4.43709   28.91719
78   24.1682   8.15269   32.32089
79   24.5196   4.2187   28.7383
80   24.5449   6.31603   30.86093
81   23.8158   6.04034   29.85614
82   49.8746   50.8838   100.7584
83   49.8972   46.0838   95.9810
84   50.0613   56.9896   107.0509
85   49.8469   34.5177   84.3646
86   50.491   61.9191   112.4101
87   50.6963   111.339   162.0353
88   51.5958   20.9804   72.5762
89   49.3318   18.7152   68.0470
90   50.8022   20.0238   70.8260
