id    ampl       solv    total
0   1.7645   0.08529   1.84979
1   3.35961   0.015466   3.375076
2   6.87861   0.022548   6.901158
3   13.9195   0.06156   13.98106
4   3.3666   0.023805   3.390405
5   3.28974   0.079692   3.369432
6   6.90152   0.024833   6.926353
7   13.5613   0.126695   13.687995
8   7.05114   0.065606   7.116746
9   6.80038   0.037266   6.837646
10   7.16082   0.361636   7.522456
11   14.7841   0.061979   14.846079
12   13.4903   0.083049   13.573349
13   13.6674   0.048566   13.715966
14   13.9019   0.066132   13.968032
15   14.0032   0.705827   14.709027
16   1.6684   0.025016   1.693416
17   1.74475   0.021405   1.766155
18   1.76952   0.091898   1.861418
19   3.3251   0.01839   3.34349
20   3.30038   0.036647   3.337027
21   3.25615   0.028866   3.285016
22   6.83543   0.072444   6.907874
23   6.77928   0.038931   6.818211
24   6.98251   0.129123   7.111633
25   14.7622   0.055109   14.817309
26   13.9768   0.05247   14.02927
27   13.673   0.09801   13.77101
28   3.38079   0.021109   3.401899
29   3.42046   0.025715   3.446175
30   3.42721   0.017884   3.445094
31   3.44938   0.091537   3.540917
32   3.25616   0.073589   3.329749
33   3.27339   0.037159   3.310549
34   6.92788   0.048451   6.976331
35   6.77589   0.063102   6.838992
36   6.79383   0.078421   6.872251
37   13.6022   0.08373   13.68593
38   13.8147   0.049515   13.864215
39   13.7946   0.040676   13.835276
40   6.75121   0.044467   6.795677
41   6.74811   0.092485   6.840595
42   6.73461   0.262944   6.997554
43   6.88761   0.056305   6.943915
44   6.83517   0.103409   6.938579
45   6.76221   0.153505   6.915715
46   6.69101   0.271045   6.962055
47   7.13148   0.199245   7.330725
48   6.76691   0.410326   7.177236
49   13.6742   0.060733   13.734933
50   13.7158   0.070831   13.786631
51   13.9459   0.112599   14.058499
52   13.1346   1.29375   14.42835
53   13.6425   1.51237   15.15487
54   13.2423   0.856365   14.098665
55   13.829   0.14502   13.97402
56   13.7004   0.760348   14.460748
57   13.462   0.328153   13.790153
58   13.9598   0.087431   14.047231
59   13.9535   0.125113   14.078613
60   13.7772   0.140648   13.917848
61   13.749   0.687257   14.436257
62   13.8185   0.772968   14.591468
63   13.654   2.22654   15.88054
64   3.22888   0.113995   3.342875
65   3.24433   0.063041   3.307371
66   3.23451   0.055619   3.290129
67   3.3261   0.069745   3.395845
68   3.24904   0.072521   3.321561
69   3.25518   0.099505   3.354685
70   3.23226   0.055394   3.287654
71   3.24317   0.079268   3.322438
72   3.25079   0.09761   3.34840
73   6.87718   0.318442   7.195622
74   7.137   0.177122   7.314122
75   6.68945   0.373038   7.062488
76   6.79698   0.187798   6.984778
77   6.90787   0.220003   7.127873
78   6.72087   0.605437   7.326307
79   7.07572   0.208169   7.283889
80   7.04708   0.256024   7.303104
81   6.85163   0.360202   7.211832
82   14.2407   0.54718   14.78788
83   14.1032   0.895569   14.998769
84   14.193   1.02662   15.21962
85   14.2633   0.06654   14.32984
86   14.5258   1.33671   15.86251
87   14.4176   0.858244   15.275844
88   14.6861   0.06015   14.74625
89   14.1173   0.055443   14.172743
90   14.363   0.269326   14.632326
