id    ampl       solv    total
0   6.25013   0.087206   6.337336
1   13.1016   0.075217   13.176817
2   33.2282   0.587585   33.815785
3   82.0773   1.33438   83.41168
4   18.2607   0.19969   18.46039
5   18.4064   0.544692   18.951092
6   41.3325   0.969793   42.302293
7   25.2408   1.29885   26.53965
8   12.6561   0.126331   12.782431
9   12.7051   0.553582   13.258682
10   39.302   1.33436   40.63636
11   87.9109   0.920411   88.831311
12   83.756   3.6575   87.4135
13   84.5642   1.76831   86.33251
14   87.8236   5.9202   93.7438
15   84.096   3.98933   88.08533
16   9.29586   0.278024   9.573884
17   9.80038   0.140328   9.940708
18   9.20597   0.335008   9.540978
19   6.23326   0.289734   6.522994
20   6.17807   0.165286   6.343356
21   6.32669   0.111525   6.438215
22   12.4861   0.363729   12.849829
23   12.678   0.694961   13.372961
24   12.6459   0.485082   13.130982
25   25.3788   0.809328   26.188128
26   26.0826   0.54302   26.62562
27   25.6904   0.921475   26.611875
28   6.19833   0.058945   6.257275
29   6.40641   0.13421   6.54062
30   11.2846   0.286299   11.570899
31   12.6887   0.677051   13.365751
32   12.6308   0.685009   13.315809
33   12.5062   0.792697   13.298897
34   27.0117   0.492607   27.504307
35   25.7586   0.640179   26.398779
36   26.7522   1.44907   28.20127
37   52.1975   8.17548   60.37298
38   51.6215   2.20419   53.82569
39   50.3336   1.57926   51.91286
40   24.7887   1.64273   26.43143
41   24.8674   1.35073   26.21813
42   24.7544   3.0351   27.7895
43   25.2509   0.454238   25.705138
44   24.9925   0.849312   25.841812
45   24.8062   2.32331   27.12951
46   26.0189   2.38396   28.40286
47   26.3784   2.25466   28.63306
48   25.4857   8.80746   34.29316
49   52.1457   0.304769   52.450469
50   51.0504   0.855375   51.905775
51   51.8467   2.28383   54.13053
52   51.3915   12.0655   63.4570
53   50.4574   12.919   63.3764
54   55.9021   17.6271   73.5292
55   55.7584   11.2832   67.0416
56   52.0553   12.0145   64.0698
57   51.9477   18.3198   70.2675
58   52.4542   0.850991   53.305191
59   55.5676   1.69339   57.26099
60   53.7815   8.27141   62.05291
61   52.3762   10.2889   62.6651
62   53.5881   3.44007   57.02817
63   52.2466   17.6923   69.9389
64   12.3513   1.32995   13.68125
65   12.175   0.713164   12.888164
66   12.2019   0.726096   12.927996
67   12.1198   0.694147   12.813947
68   12.2641   0.637275   12.901375
69   12.245   1.3236   13.5686
70   12.2541   0.547531   12.801631
71   12.3183   0.480769   12.799069
72   12.7394   0.672151   13.411551
73   13.9405   2.79874   16.73924
74   12.9777   1.79318   14.77088
75   12.8182   1.24393   14.06213
76   12.948   1.10867   14.05667
77   12.8091   1.30583   14.11493
78   12.5739   2.19177   14.76567
79   12.8512   0.960438   13.811638
80   12.6293   3.31431   15.94361
81   12.7685   3.07081   15.83931
82   26.6622   11.772   38.4342
83   27.1333   4.99517   32.12847
84   25.4239   10.1204   35.5443
85   27.0321   3.92535   30.95745
86   28.4263   9.8178   38.2441
87   28.5216   18.8881   47.4097
88   27.9101   4.26634   32.17644
89   28.4266   8.86023   37.28683
90   26.6826   10.4268   37.1094
