O  0 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 7899.0000 129636.6629   574 8 3 4.00 4  1818 4 2 3.17 4  12699 66 1 24.42 30  5 1 1.53 1  4587520 131072 2307973.29 1966080  20866 125 1 38.78 35  
O  1 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 70448.0000 29071.0879   481 5 1 1.00 2  4050 14 2 8.42 8  114713 587 2 145.57 126  9 1 2.19 2  18481152 131072 9271381.10 8388608  131072 715 2 166.12 128  
O  2 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 74913.0000 54676.7584   771 4 1 1.00 1  5905 14 2 7.66 8  216439 1212 1 273.97 200  14 1 2.77 2  36175872 131072 15326505.45 9437184  249182 1468 1 315.82 207  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  8192 124253.0000 65929.9977  1176 3 1 1.00 1  9424 15 1 8.01 8  459872 2041 4 319.80 192  12 1 2.49 1  58982400 131072 18228236.47 8388608  525408 2553 4 365.37 192  
O  4 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 40872.0000 50107.6532   608 6 1 2.00 2  5142 14 2 8.46 9  114807 484 2 155.57 142  11 1 2.34 2  15728640 131072 7821742.47 7995392  131166 548 4 170.12 154  
O  5 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 8044.0000 254599.7016  1623 11 3 6.00 6  7301 5 3 4.50 5  55869 92 1 35.14 31  7 1 1.70 1  3801088 131072 2205747.53 2621440  72253 121 1 45.41 40  
O  6 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 48666.0000 84165.5365  1118 6 1 2.00 2  9096 14 1 8.14 8  215541 706 1 228.33 213  12 1 2.73 2  20054016 131072 9758045.11 8388608  248309 834 1 263.04 234  
O  7 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  8192 53427.0000 153330.7129  2267 7 1 2.00 2  18685 15 2 8.24 8  465736 941 1 275.42 241  15 1 3.09 2  24117248 131072 11517513.00 8519680  531272 1069 1 312.88 268  
O  8 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 42083.0000 97331.4640  1160 7 1 2.00 2  9247 14 1 7.97 8  219079 662 1 232.32 212  13 1 2.86 2  20840448 131072 10225158.98 8388608  251847 726 1 253.37 232  
O  9 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 47074.0000 87011.9386  1061 5 1 2.00 2  8573 14 1 8.08 8  215135 643 1 228.87 202  12 1 2.62 2  20709376 131072 9941819.22 8388608  247903 679 1 246.18 223  
O  10 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 10857.0000 377268.1219  2493 9 2 4.00 5  10667 5 1 4.28 5  98307 160 2 47.98 42  7 1 1.69 1  4718592 131072 2716158.38 3014656  131075 197 2 63.97 49  
O  11 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  8192 51795.0000 158161.9847  2101 6 1 2.00 2  17756 15 1 8.45 9  461724 796 1 245.34 217  13 1 2.53 2  21626880 131072 9844590.13 8388608  527260 827 1 278.68 256  
O  12 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  8192 50589.0000 161932.4359  2583 6 1 2.00 2  21414 15 3 8.29 8  472218 774 1 277.61 262  15 1 3.23 2  21233664 131072 10623133.73 8388608  537754 774 1 267.41 233  
O  13 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  8192 53436.0000 153304.8881  2390 6 1 2.00 2  20084 15 2 8.40 8  465910 745 1 276.67 259  13 1 3.11 2  22413312 131072 10789605.04 8388608  531446 779 1 277.08 243  
O  14 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  8192 47222.0000 173478.4634  2414 7 1 2.00 2  20581 15 1 8.53 9  461274 720 2 253.59 245  16 1 2.84 2  20316160 131072 9542570.53 8388608  526810 784 2 270.44 268  
O  15 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  8192 8909.0000 919519.5869  1024 1 1 1.00 1  2048 2 2 2.00 2  65536 64 64 64.00 64  1 1 1.00 1  8388608 8388608 8388608.00 8388608  131072 128 64 88.56 64  
O  16 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 34015.0000 30104.3657   514 7 1 4.00 4  5169 11 9 10.06 10  74993 347 1 131.57 106  13 1 3.72 2  14811136 131072 7841688.86 7471104  83185 411 1 145.94 106  
