id    ampl       solv    total
0   11.5413   0.694989   12.236289
1   23.365   1.44832   24.81332
2   51.0118   4.0869   55.0987
3   123.016   4.44049   127.45649
4   23.2125   1.28589   24.49839
5   23.388   17.0175   40.4055
6   50.4812   10.6666   61.1478
7   128.175   109.457   237.632
8   49.411   16.3435   65.7545
9   52.5695   9.89515   62.46465
10   48.8377   89.1459   137.9836
11   134.382   94.6747   229.0567
12   130.437   462.607   593.044
13   133.212   113.96   247.172
14   128.347   161.536   289.883
15   110.97   2.53401   113.50401
16   10.9366   3.20755   14.14415
17   11.4784   11.4972   22.9756
18   11.5202   4.01437   15.53457
19   23.1133   2.02753   25.14083
20   22.8913   0.957702   23.849002
21   22.9091   0.929058   23.838158
22   51.075   31.9922   83.0672
23   47.4325   15.5241   62.9566
24   47.4789   15.1475   62.6264
25   124.032   194.398   318.430
26   126.426   140.031   266.457
27   134.615   179.488   314.103
28   23.0838   2.77081   25.85461
29   22.6446   0.955637   23.600237
30   22.5489   0.771599   23.320499
31   23.05   80.4891   103.5391
32   22.6814   11.0397   33.7211
33   22.8595   50.0945   72.9540
34   48.9217   6.14305   55.06475
35   48.4615   9.61711   58.07861
36   48.4076   6.01384   54.42144
37   133.256   219.009   352.265
38   129.707   319.376   449.083
39   121.516   78.3718   199.8878
40   48.8283   21.2246   70.0529
41   47.6558   11.143   58.7988
42   48.0341   23.4522   71.4863
43   50.9439   16.5231   67.4670
44   49.9258   6.50912   56.43492
45   49.0236   5.05495   54.07855
46   47.8652   167.484   215.3492
47   48.5422   330.239   378.7812
48   49.1308   295.063   344.1938
49   133.601   228.615   362.216
50   135.341   76.6674   212.0084
51   134.482   60.3513   194.8333
52   131.863   158.17   290.033
53   136.425   136.961   273.386
54   131.164   170.113   301.277
55   134.995   56.3163   191.3113
56   132.093   87.6812   219.7742
57   135.462   90.5556   226.0176
58   134.217   172.164   306.381
59   133.173   94.1578   227.3308
60   126.645   20.2967   146.9417
61   116.376   22.3432   138.7192
62   115.799   72.9983   188.7973
63   118.408   202.652   321.060
64   24.9229   2.71954   27.64244
65   24.0848   4.76054   28.84534
66   24.5155   4.20663   28.72213
67   24.9836   8.82666   33.81026
68   24.2063   9.66008   33.86638
69   24.8197   5.9274   30.7471
70   24.864   3.05609   27.92009
71   24.5597   2.45012   27.00982
72   24.9686   1.78894   26.75754
73   51.206   30.861   82.067
74   51.1128   36.1346   87.2474
75   51.2817   29.9321   81.2138
76   50.8321   31.2087   82.0408
77   51.1339   31.2745   82.4084
78   50.9723   40.6264   91.5987
79   51.3825   10.4013   61.7838
80   51.5255   14.869   66.3945
81   50.5766   13.2154   63.7920
82   132.967   162.131   295.098
83   129.749   174.966   304.715
84   130.641   152.51   283.151
85   131.256   250.317   381.573
86   135.43   267.774   403.204
87   134.94   173.291   308.231
88   134.546   45.8699   180.4159
89   133.795   32.484   166.279
90   133.152   58.9681   192.1201
