O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 65536  2048 21907.0000 93486.1003   553 5 1 2.16 2  11359260395 67108864 40960 20541158.04 18432000  140584 896 3 254.22 220  2989 9 3 5.41 5  140609 1288 1 337.19 264  10 1 2.26 2  17039360 65536 8574186.17 8192000  173377 2312 1 415.77 264  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 65536  4096 21715.0000 188625.3742  1169 6 1 2.28 2  26912090274 83886080 43735 23021463.02 18869985  345118 1152 3 295.22 240  7362 11 3 6.30 6  345118 1372 1 413.81 350  11 1 2.53 2  18284544 65536 9264241.15 8388608  410679 2396 1 491.83 350  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 65536  8192 41567.0000 197079.4140  1823 4 1 1.78 2  39892482151 125829120 60676 21882875.56 33554432  936386 1792 3 513.65 434  14860 15 1 8.15 8  936386 2472 1 560.71 386  15 1 2.88 2  31326208 65536 13562800.99 8388608  1067483 3496 1 638.83 386  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 65536  16384 75633.0000 216625.0182  2732 5 1 1.33 1  155609003423 142606336 186410 56957907.55 58720256  2112254 2048 6 773.15 768  24930 17 2 9.13 9  2112254 3842 1 699.19 384  17 1 2.90 2  54853632 65536 18123520.54 9043968  2374398 4866 1 785.96 384  
