O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 65536  2048 29393.0000 69676.4536   467 6 1 1.82 1  11168032962 75497472 2796202 23914417.48 16777216  137644 1024 21 294.74 215  2365 9 2 5.06 5  137644 1856 21 323.87 235  4 1 2.04 2  29360128 1376256 9635997.27 8388608  170437 2880 21 400.09 234  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 65536  4096 124506.0000 32898.0129  1228 11 1 2.40 2  26465896539 83886080 2396744 21552033.01 13981010  338298 1152 18 275.49 175  7378 11 2 6.01 6  338298 2443 16 392.00 258  6 1 2.57 2  50331648 720896 9227916.68 8388608  403859 3467 16 467.43 257  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 65536  8192 91171.0000 89853.1331  3770 18 1 3.68 2  35292394111 125829120 1048576 9361377.75 9437184  931712 1792 8 247.14 128  28037 15 2 7.44 7  931712 3224 8 493.49 319  11 1 4.15 3  92274688 458752 10303345.00 7274496  1062809 4248 8 562.63 319  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 65536  16384 132451.0000 123698.5753  7255 22 1 3.54 2  155739691258 134217728 932066 21466532.22 9786707  2114214 1920 7 291.41 130  59933 17 2 8.26 8  2114214 4213 9 575.61 337  13 1 4.69 3  109051904 327680 12185993.57 8388608  2376383 5237 9 646.81 337  
O  3 OPTIQ_Alltoallv  msg = 8388608 chunk = 65536  32768 192102.0000 170576.0481  18192 28 1 4.00 2  180614 21 2 9.93 10  5260150 5766 6 686.26 355  18 1 6.29 4  150994944 262144 13206372.71 8126464  5784438 6790 6 754.66 355  
