O  16 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  1024 21859.0000 46845.6928   573 8 1 4.48 5  11124078236 92274688 57933 19413749.10 14234231  306676 2560 8 535.21 396  5872 11 9 10.25 10  306701 1233 1 484.52 400  13 1 3.74 2  13402112 32768 7089165.71 6389760  339444 1489 1 537.09 400  
O  17 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  1024 3220.0000 318012.4224  1187 15 5 9.27 9  4328928427 11217672 3648 3646948.97 3017450  99522 285 2 83.84 69  4901 6 1 4.13 4  99547 262 1 95.08 98  6 1 1.68 1  1998848 32768 1483531.39 1835008  132315 518 1 126.38 100  
O  18 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  1024 4527.0000 226198.3654   974 13 4 7.61 8  4746447174 13108400 5120 4873149.05 3987565  112072 325 3 115.06 96  4338 6 2 4.45 4  112097 388 2 123.32 102  7 1 1.70 1  2785280 32768 1859763.76 2424832  144865 643 2 159.37 103  
O  19 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  2048 29021.0000 70569.5875   640 6 1 2.50 2  15491605612 100663296 45180 24205633.77 18230535  407248 2816 5 636.33 460  4845 13 1 7.57 8  407273 2170 3 653.73 603  12 1 2.50 2  15564800 32768 8022882.50 7995392  472784 2682 3 755.25 660  
O  20 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  2048 22783.0000 89891.5858   664 6 1 2.59 2  15617908944 109051904 44616 23520947.20 18682700  411084 3072 5 619.10 496  5059 13 1 7.62 8  411109 1789 1 646.40 554  12 1 2.57 2  15499264 32768 7939951.28 7602176  476620 2260 1 747.05 629  
O  21 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  2048 26256.0000 78001.2188   598 7 1 2.34 2  15065540133 109051904 86878 25193210.92 19857774  394240 3072 7 659.26 504  4430 13 1 7.41 8  394265 1910 8 611.26 493  12 1 2.46 2  16384000 32768 8351407.96 8388608  459777 2420 8 711.73 496  
O  22 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  4096 30815.0000 132922.2781  1471 8 1 2.87 3  31672943198 106788968 41360 21531572.53 15154140  835528 2988 4 568.00 387  10956 13 1 7.45 7  835553 2620 3 887.94 783  14 1 3.37 3  17170432 32768 9742709.57 8388608  966625 3644 3 1027.23 801  
O  23 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  4096 28624.0000 143096.7021  1452 8 1 2.84 3  31375244424 92274688 60907 21608295.06 16368219  826442 2560 5 569.17 423  11001 12 1 7.58 8  826467 2808 1 908.21 797  15 1 3.41 2  18087936 32768 9737994.65 8388608  957539 3832 1 1052.24 801  
O  24 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  4096 40370.0000 101461.4813  1199 5 1 2.34 2  30455500707 100663296 63546 25400751.22 20590218  798382 2816 5 665.87 516  8861 12 1 7.39 8  798407 3002 2 964.26 783  16 1 3.24 2  21889024 32768 11119513.94 8388608  929479 4026 2 1122.56 818  
O  25 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 47907.0000 170997.9752  2595 6 1 2.53 2  65816120980 107225001 64860 25362667.04 19555398  1746416 3012 4 672.99 510  20329 14 2 7.83 8  1746416 3601 7 1265.52 1133  17 1 3.52 2  22413312 32768 11396795.51 8650752  2008560 5649 7 1455.48 1133  
O  26 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 52934.0000 154758.7562  2212 6 1 2.16 2  60912547472 117440512 85974 27537318.03 24858768  1727840 3328 4 781.12 640  17230 14 1 7.79 8  1727840 3866 1 1296.20 1129  16 1 3.25 2  25460736 32768 12321956.86 9076736  1989984 5914 1 1492.86 1129  
O  27 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  8192 45514.0000 179988.5749  2588 6 1 2.53 2  65865970219 110865062 54610 25450529.45 19922944  1747920 3133 4 675.39 516  20143 14 1 7.78 8  1747920 3625 2 1268.45 1161  16 1 3.53 2  22544384 32768 11547296.13 8650752  2010064 5673 2 1458.68 1161  
O  28 OPTIQ_Alltoallv  msg = 8388608 chunk = 32768  2048 26501.0000 77280.1026   648 6 1 2.53 2  15264543526 100663296 81081 23556394.33 17617550  400318 2816 5 617.77 445  4844 13 1 7.48 8  400343 1669 5 696.25 657  11 1 2.60 2  15302656 32768 8180655.88 8388608  465879 1918 5 782.99 729  
