 35 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 28050.0000 73012.4777  1044 5347 5347 2235 9 2 5.12 5 4 1 2.39 2
 36 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 23121.0000 88577.4837  989 5153 5153 2128 9 1 5.21 5 4 1 2.42 2
 37 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 35847.0000 114263.3972  1222 6818 6818 3028 10 1 5.58 6 4 1 2.25 2
 38 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 34428.0000 118972.9290  1222 6754 6754 3055 10 1 5.53 5 4 1 2.21 2
 39 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 31025.0000 132022.5624  1250 6841 6841 3019 10 1 5.47 5 4 1 2.27 2
 40 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 26164.0000 78275.4930  861 4962 4962 2040 10 2 5.76 6 4 1 2.43 2
 41 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 28000.0000 73142.8571  776 4006 4006 1633 9 1 5.16 5 4 1 2.45 2
 42 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 30147.0000 67933.7911  776 3973 3973 1651 9 1 5.12 5 4 1 2.41 2
 43 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 24478.0000 83666.9663  1142 6624 6624 2606 10 2 5.80 6 4 1 2.54 3
 44 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 25683.0000 79741.4632  1106 6143 6143 2435 10 1 5.55 5 4 1 2.52 2
 45 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 26285.0000 77915.1607  1072 5246 5246 2161 9 1 4.89 5 4 1 2.43 2
 46 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 9398.0000 217918.7061  1596 6279 6279 2600 6 3 3.93 4 4 1 2.41 2
 47 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 6992.0000 292906.1785  2338 8364 8364 3827 6 1 3.58 4 4 1 2.19 2
 48 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 5866.0000 349130.5830  2011 7237 7237 3033 6 2 3.60 4 4 1 2.39 2
 49 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 30168.0000 135773.0045  1814 10633 10633 4653 11 1 5.86 6 4 1 2.29 2
 50 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 28916.0000 141651.6807  1817 10438 10438 4593 11 1 5.74 6 4 1 2.27 2
 51 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 24232.0000 169032.6841  1851 10305 10305 4375 11 1 5.57 5 4 1 2.36 2
 52 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 32437.0000 126275.5495  927 5176 5176 2251 10 1 5.58 6 4 1 2.30 2
 53 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 32117.0000 127533.7049  918 5094 5094 2268 10 1 5.55 6 4 1 2.25 2
 54 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 32376.0000 126513.4668  950 5320 5320 2337 10 1 5.60 6 4 1 2.28 2
 55 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 30540.0000 134119.1880  1416 8249 8249 3319 10 1 5.83 6 4 1 2.49 2
 56 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 32823.0000 124790.5432  1234 6808 6808 2706 10 1 5.52 6 4 1 2.52 2
 57 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 32302.0000 126803.2939  1247 6925 6925 2792 10 1 5.55 6 4 1 2.48 2
 58 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 27796.0000 147359.3323  1998 11773 11773 4624 11 1 5.89 6 4 1 2.55 3
 59 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 28471.0000 143865.6879  1848 10149 10149 4047 10 1 5.49 5 4 1 2.51 2
 60 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 27221.0000 150472.0620  1710 8969 8969 3498 10 1 5.25 5 4 1 2.56 3
 61 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 12543.0000 326556.6451  2545 8476 8476 3668 6 2 3.33 3 4 1 2.31 2
 62 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 9713.0000 421702.8724  2612 9851 9851 3650 6 3 3.77 4 4 1 2.70 3
 63 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 8463.0000 483989.1292  3045 9371 9371 4805 5 1 3.08 3 4 1 1.95 1
 64 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 33510.0000 30558.0424  209 1020 1020 506 8 1 4.88 5 4 1 2.02 2
 65 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 34411.0000 29757.9262  206 990 990 509 8 1 4.81 5 4 1 1.94 1
 66 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 29501.0000 34710.6878  203 987 987 506 8 1 4.86 5 4 1 1.95 1
 67 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 26190.0000 39098.8927  348 1759 1759 768 8 1 5.05 5 4 1 2.29 2
 68 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 29198.0000 35070.8953  349 1749 1749 755 8 1 5.01 5 4 1 2.32 2
 69 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 26755.0000 38273.2200  342 1705 1705 754 8 1 4.99 5 4 1 2.26 2
 70 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 24380.0000 42001.6407  512 2506 2506 1041 8 1 4.89 5 4 1 2.41 2
 71 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 25080.0000 40829.3461  496 2438 2438 1042 8 1 4.92 5 4 1 2.34 2
 72 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 23146.0000 44240.9056  506 2508 2508 1056 8 1 4.96 5 4 1 2.38 2
 73 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 40542.0000 50515.5148  374 2010 2010 979 9 1 5.37 6 4 1 2.05 2
 74 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 36702.0000 55800.7738  356 1898 1898 934 9 1 5.33 6 4 1 2.03 2
 75 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 39192.0000 52255.5624  362 1972 1972 987 9 1 5.45 6 4 1 2.00 2
 76 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 33609.0000 60936.0588  566 2979 2979 1310 9 1 5.26 5 4 1 2.27 2
 77 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 33229.0000 61632.9110  563 2968 2968 1309 9 1 5.27 5 4 1 2.27 2
 78 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 31093.0000 65866.9154  583 3048 3048 1345 9 1 5.23 5 4 1 2.27 2
 79 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 32921.0000 62209.5319  787 4062 4062 1663 9 1 5.16 5 4 1 2.44 2
 80 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 27429.0000 74665.5000  777 3976 3976 1634 9 1 5.12 5 4 1 2.43 2
 81 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 30341.0000 67499.4232  817 4189 4189 1682 9 1 5.13 5 4 1 2.49 2
 82 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 41584.0000 98499.4229  774 4325 4325 1866 10 1 5.59 6 5 1 2.32 2
 83 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 41989.0000 97549.3582  763 4285 4285 1850 10 1 5.62 6 5 1 2.32 2
 84 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 40140.0000 102042.8500  752 4242 4242 1861 10 1 5.64 6 5 1 2.28 2
 85 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 37066.0000 110505.5846  936 5196 5196 2337 10 1 5.55 6 4 1 2.22 2
 86 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 32490.0000 126069.5599  943 5256 5256 2330 10 1 5.57 6 4 1 2.26 2
 87 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 35487.0000 115422.5491  948 5300 5300 2369 10 1 5.59 6 4 1 2.24 2
 88 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 31660.0000 129374.6052  1278 6999 6999 2797 10 1 5.48 5 4 1 2.50 2
 89 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 32652.0000 125444.0769  1288 7110 7110 2831 10 1 5.52 6 4 1 2.51 2
 90 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  4096 34480.0000 118793.5035  1234 6836 6836 2756 10 1 5.54 6 4 1 2.48 2
